frequency,Rtings.com,Harman IEM,SenseLab Aizu,SoundGuys.com Studio Curve,SoundGuys.com Headphone Preference Curve,Type 5128 Diffuse Field Response
49.708137,4.036389913,7.129867287,3.612350094,-0.05178851845,3.997066293,-2.046676231
50.068613,4.022405064,7.099522033,3.593870369,-0.05178851845,4.031383991,-2.048012393
50.431703,4.009373626,7.069154848,3.575235054,-0.05178851845,4.057500882,-2.04930124
50.797427,3.99532259,7.039479067,3.556440962,-0.05178851845,4.034418985,-2.050555834
51.165802,3.981312128,7.011566383,3.537484819,-0.05178851845,4.00149722,-2.051785614
51.536849,3.967301645,6.983376597,3.518363252,-0.05178851845,3.974198569,-2.053000453
51.910587,3.953295384,6.953220524,3.499072789,-0.05178851845,3.947759622,-2.054210674
52.287035,3.939222892,6.92202755,3.479601576,-0.05178851845,3.917203292,-2.055427062
52.666213,3.924169973,6.890074623,3.459946042,-0.05178851845,3.902425644,-2.056660881
53.04814,3.909158752,6.857044594,3.440113762,-0.05178851845,3.907011412,-2.057923987
53.432838,3.894147512,6.822231118,3.420112701,-0.05178851845,3.910048315,-2.059230366
53.820325,3.879140821,6.787511986,3.399951234,-0.05178851845,3.874525888,-2.060572006
54.210622,3.864059731,6.754616895,3.379638153,-0.05178851845,3.831688645,-2.061931634
54.603749,3.848078174,6.72133052,3.359182682,-0.05178851845,3.807728771,-2.063291205
54.999728,3.833041159,6.68667958,3.338594453,-0.05178851845,3.787453392,-2.064631875
55.398578,3.816985896,6.652023715,3.317865944,-0.05178851845,3.769067081,-2.065933982
55.80032,3.800978811,6.617444026,3.296984986,-0.05178851845,3.751788548,-2.067177018
56.204976,3.784893658,6.585663183,3.275950537,-0.05178851845,3.734725781,-2.068341364
56.612566,3.767913423,6.556378381,3.254761551,-0.05178851845,3.718375464,-2.069430156
57.023112,3.751873881,6.527650469,3.233416975,-0.05178851845,3.703024773,-2.070461057
57.436635,3.734821941,6.499253589,3.211915755,-0.05178851845,3.687859064,-2.071452455
57.853158,3.717733349,6.470688502,3.190256828,-0.05178851845,3.672899277,-2.072423576
58.2727,3.69975414,6.440551504,3.168439111,-0.05178851845,3.656556855,-2.073394513
58.695285,3.682712388,6.409086266,3.146454322,-0.05178851845,3.636902722,-2.074386252
59.120935,3.664659106,6.375532432,3.124299099,-0.05178851845,3.615797357,-2.075420698
59.549671,3.646567056,6.339798425,3.101977628,-0.05178851845,3.59070577,-2.076520703
59.981517,3.627588895,6.301016691,3.079494329,-0.05178851845,3.57411247,-2.077710098
60.416494,3.609544861,6.257212869,3.056853861,-0.05178851845,3.569442995,-2.079033184
60.854625,3.590490278,6.210459995,3.03406113,-0.05178851845,3.563599957,-2.080491855
61.295934,3.571394783,6.162606091,3.011121294,-0.05178851845,3.543638741,-2.082037226
61.740443,3.551417683,6.113660083,2.988038682,-0.05178851845,3.519442003,-2.083618136
62.188176,3.532377262,6.064526003,2.964583048,-0.05178851845,3.498184246,-2.085181141
62.639156,3.512232073,6.017245396,2.940688555,-0.05178851845,3.47810348,-2.086670439
63.093406,3.491255614,5.973961796,2.916521997,-0.05178851845,3.46015215,-2.08803025
63.55095,3.471207344,5.936109336,2.892257664,-0.05178851845,3.442591463,-2.08929486
64.011812,3.450144187,5.90036255,2.868077569,-0.05178851845,3.425413985,-2.090505422
64.476016,3.429134703,5.864838869,2.844171682,-0.05178851845,3.405903872,-2.091674602
64.943587,3.408038826,5.83111266,2.820738178,-0.05178851845,3.380232245,-2.092815655
65.414548,3.385974319,5.800479608,2.797982786,-0.05178851845,3.352749512,-2.093942444
65.888925,3.363957859,5.771826037,2.775871719,-0.05178851845,3.325866586,-2.095069453
66.366742,3.341947963,5.744001788,2.754213486,-0.05178851845,3.298864294,-2.096211816
66.848024,3.319848856,5.717322955,2.732911443,-0.05178851845,3.271879413,-2.097385325
67.332796,3.296782773,5.692592689,2.711864407,-0.05178851845,3.244936447,-2.098658624
67.821083,3.273772372,5.669132694,2.690966512,-0.05178851845,3.21811645,-2.10015075
68.312912,3.250670608,5.644453441,2.670107064,-0.05178851845,3.191283261,-2.101769177
68.808307,3.226603216,5.618700696,2.649170395,-0.05178851845,3.164359142,-2.103403751
